"paragraph","no_of_interactions","nrc_sentiment","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","Valence","Arousal","Dominance"
" NA ",1,0,0,0,0,0,0,0,0,0,0,0,0
" NA ",0,0,0,0,0,0,0,0,0,0,0,0,0
" NA ",0,0,0,0,0,0,0,0,0,0,0,0,0
" NA ",0,0,0,0,0,0,0,0,0,0,0,0,0
" NA ",0,0,0,0,0,0,0,0,0,0,0,0,0
" NA ",0,0,0,0,0,0,0,0,0,0,0,0,0
" NA ",0,0,0,0,0,0,0,0,0,0,0,0,0
" NA ",0,0,0,0,0,0,0,0,0,0,0,0,0
" NA ",0,0,0,0,0,0,0,0,0,0,0,0,0
" NA ",0,0,0,0,0,0,0,0,0,0,0,0,0
" NA ",0,0,0,0,0,0,0,0,0,0,0,0,0
" NA ",0,0,0,0,0,0,0,0,0,0,0,0,0
" NA ",0,0,0,0,0,0,0,0,0,0,0,0,0
" NA ",0,0,0,0,0,0,0,0,0,0,0,0,0
" NA ",0,0,0,0,0,0,0,0,0,0,0,0,0
" NA ",0,0,0,0,0,0,0,0,0,0,0,0,0
" NA ",0,0,0,0,0,0,0,0,0,0,0,0,0
" NA ",0,0,0,0,0,0,0,0,0,0,0,0,0
" NA ",0,0,0,0,0,0,0,0,0,0,0,0,0
" NA ",0,0,0,0,0,0,0,0,0,0,0,0,0
" NA ",0,0,0,0,0,0,0,0,0,0,0,0,0
" NA ",0,0,0,0,0,0,0,0,0,0,0,0,0
" NA ",0,0,0,0,0,0,0,0,0,0,0,0,0
" NA ",0,0,0,0,0,0,0,0,0,0,0,0,0
" NA ",0,0,0,0,0,0,0,0,0,0,0,0,0
" NA ",0,0,0,0,0,0,0,0,0,0,0,0,0
" NA ",0,0,0,0,0,0,0,0,0,0,0,0,0
" NA ",0,0,0,0,0,0,0,0,0,0,0,0,0
" NA ",0,0,0,0,0,0,0,0,0,0,0,0,0
" NA ",0,0,0,0,0,0,0,0,0,0,0,0,0
" NA ",0,0,0,0,0,0,0,0,0,0,0,0,0
" NA ",0,0,0,0,0,0,0,0,0,0,0,0,0
" NA ",0,0,0,0,0,0,0,0,0,0,0,0,0
" NA ",0,0,0,0,0,0,0,0,0,0,0,0,0
" NA ",0,0,0,0,0,0,0,0,0,0,0,0,0
" NA ",0,0,0,0,0,0,0,0,0,0,0,0,0
" NA ",0,0,0,0,0,0,0,0,0,0,0,0,0
" NA ",0,0,0,0,0,0,0,0,0,0,0,0,0
" NA ",0,0,0,0,0,0,0,0,0,0,0,0,0
" NA ",0,0,0,0,0,0,0,0,0,0,0,0,0
" NA ",0,0,0,0,0,0,0,0,0,0,0,0,0
" NA ",0,0,0,0,0,0,0,0,0,0,0,0,0
" NA ",0,0,0,0,0,0,0,0,0,0,0,0,0
" NA ",0,0,0,0,0,0,0,0,0,0,0,0,0
" NA ",0,0,0,0,0,0,0,0,0,0,0,0,0
" NA ",0,0,0,0,0,0,0,0,0,0,0,0,0
" NA ",0,0,0,0,0,0,0,0,0,0,0,0,0
" NA ",0,0,0,0,0,0,0,0,0,0,0,0,0
" NA ",0,0,0,0,0,0,0,0,0,0,0,0,0
" NA ",0,0,0,0,0,0,0,0,0,0,0,0,0
" NA ",0,0,0,0,0,0,0,0,0,0,0,0,0
" NA ",0,0,0,0,0,0,0,0,0,0,0,0,0
" NA ",0,0,0,0,0,0,0,0,0,0,0,0,0
" NA ",0,0,0,0,0,0,0,0,0,0,0,0,0
" NA ",0,0,0,0,0,0,0,0,0,0,0,0,0
" NA ",0,0,0,0,0,0,0,0,0,0,0,0,0
" NA ",0,0,0,0,0,0,0,0,0,0,0,0,0
" NA ",0,0,0,0,0,0,0,0,0,0,0,0,0
" NA ",0,0,0,0,0,0,0,0,0,0,0,0,0
" NA ",0,0,0,0,0,0,0,0,0,0,0,0,0
" NA ",0,0,0,0,0,0,0,0,0,0,0,0,0
" NA ",0,0,0,0,0,0,0,0,0,0,0,0,0
" NA ",0,0,0,0,0,0,0,0,0,0,0,0,0
" NA ",0,0,0,0,0,0,0,0,0,0,0,0,0
" NA ",0,0,0,0,0,0,0,0,0,0,0,0,0
" NA ",0,0,0,0,0,0,0,0,0,0,0,0,0
" NA ",0,0,0,0,0,0,0,0,0,0,0,0,0
" NA ",0,0,0,0,0,0,0,0,0,0,0,0,0
" NA ",0,0,0,0,0,0,0,0,0,0,0,0,0
" NA ",0,0,0,0,0,0,0,0,0,0,0,0,0
" NA ",0,0,0,0,0,0,0,0,0,0,0,0,0
" NA ",0,0,0,0,0,0,0,0,0,0,0,0,0
" NA ",0,0,0,0,0,0,0,0,0,0,0,0,0
" NA ",0,0,0,0,0,0,0,0,0,0,0,0,0
" NA ",0,0,0,0,0,0,0,0,0,0,0,0,0
" NA ",0,0,0,0,0,0,0,0,0,0,0,0,0
" NA ",0,0,0,0,0,0,0,0,0,0,0,0,0
" NA ",0,0,0,0,0,0,0,0,0,0,0,0,0
" NA ",0,0,0,0,0,0,0,0,0,0,0,0,0
" NA ",0,0,0,0,0,0,0,0,0,0,0,0,0
" NA ",0,0,0,0,0,0,0,0,0,0,0,0,0
" NA ",0,0,0,0,0,0,0,0,0,0,0,0,0
" NA ",0,0,0,0,0,0,0,0,0,0,0,0,0
" NA ",0,0,0,0,0,0,0,0,0,0,0,0,0
" NA ",0,0,0,0,0,0,0,0,0,0,0,0,0
" NA ",0,0,0,0,0,0,0,0,0,0,0,0,0
" NA ",0,0,0,0,0,0,0,0,0,0,0,0,0
" NA ",0,0,0,0,0,0,0,0,0,0,0,0,0
" NA ",0,0,0,0,0,0,0,0,0,0,0,0,0
" NA ",0,0,0,0,0,0,0,0,0,0,0,0,0
" NA ",0,0,0,0,0,0,0,0,0,0,0,0,0
" NA ",0,0,0,0,0,0,0,0,0,0,0,0,0
" NA ",0,0,0,0,0,0,0,0,0,0,0,0,0
" NA ",0,0,0,0,0,0,0,0,0,0,0,0,0
" NA ",0,0,0,0,0,0,0,0,0,0,0,0,0
" NA ",0,0,0,0,0,0,0,0,0,0,0,0,0
" NA ",0,0,0,0,0,0,0,0,0,0,0,0,0
" NA ",0,0,0,0,0,0,0,0,0,0,0,0,0
" NA ",0,0,0,0,0,0,0,0,0,0,0,0,0
" NA ",0,0,0,0,0,0,0,0,0,0,0,0,0
" NA ",0,0,0,0,0,0,0,0,0,0,0,0,0
" NA ",0,0,0,0,0,0,0,0,0,0,0,0,0
" NA ",0,0,0,0,0,0,0,0,0,0,0,0,0
" NA ",0,0,0,0,0,0,0,0,0,0,0,0,0
" NA ",0,0,0,0,0,0,0,0,0,0,0,0,0
" NA ",0,0,0,0,0,0,0,0,0,0,0,0,0
" NA ",0,0,0,0,0,0,0,0,0,0,0,0,0
" NA ",0,0,0,0,0,0,0,0,0,0,0,0,0
" NA ",0,0,0,0,0,0,0,0,0,0,0,0,0
" NA ",0,0,0,0,0,0,0,0,0,0,0,0,0
" NA ",0,0,0,0,0,0,0,0,0,0,0,0,0
" NA ",0,0,0,0,0,0,0,0,0,0,0,0,0
" NA ",0,0,0,0,0,0,0,0,0,0,0,0,0
" NA ",0,0,0,0,0,0,0,0,0,0,0,0,0
" NA ",0,0,0,0,0,0,0,0,0,0,0,0,0
" NA ",0,0,0,0,0,0,0,0,0,0,0,0,0
" NA ",0,0,0,0,0,0,0,0,0,0,0,0,0
" NA ",0,0,0,0,0,0,0,0,0,0,0,0,0
" NA ",0,0,0,0,0,0,0,0,0,0,0,0,0
" NA ",0,0,0,0,0,0,0,0,0,0,0,0,0
" NA ",0,0,0,0,0,0,0,0,0,0,0,0,0
" NA ",0,0,0,0,0,0,0,0,0,0,0,0,0
" NA ",0,0,0,0,0,0,0,0,0,0,0,0,0
" NA ",0,0,0,0,0,0,0,0,0,0,0,0,0
" NA ",0,0,0,0,0,0,0,0,0,0,0,0,0
" NA ",0,0,0,0,0,0,0,0,0,0,0,0,0
" NA ",0,0,0,0,0,0,0,0,0,0,0,0,0
" NA ",0,0,0,0,0,0,0,0,0,0,0,0,0
" NA ",0,0,0,0,0,0,0,0,0,0,0,0,0
" NA ",0,0,0,0,0,0,0,0,0,0,0,0,0
" NA ",0,0,0,0,0,0,0,0,0,0,0,0,0
" NA ",0,0,0,0,0,0,0,0,0,0,0,0,0
" NA ",0,0,0,0,0,0,0,0,0,0,0,0,0
" NA ",0,0,0,0,0,0,0,0,0,0,0,0,0
" NA ",0,0,0,0,0,0,0,0,0,0,0,0,0
" NA ",0,0,0,0,0,0,0,0,0,0,0,0,0
" NA ",0,0,0,0,0,0,0,0,0,0,0,0,0
" NA ",0,0,0,0,0,0,0,0,0,0,0,0,0
" NA ",0,0,0,0,0,0,0,0,0,0,0,0,0
" NA ",0,0,0,0,0,0,0,0,0,0,0,0,0
" NA ",0,0,0,0,0,0,0,0,0,0,0,0,0
" NA ",0,0,0,0,0,0,0,0,0,0,0,0,0
" NA ",0,0,0,0,0,0,0,0,0,0,0,0,0
" NA ",0,0,0,0,0,0,0,0,0,0,0,0,0
" NA ",0,0,0,0,0,0,0,0,0,0,0,0,0
" NA ",0,0,0,0,0,0,0,0,0,0,0,0,0
" NA ",0,0,0,0,0,0,0,0,0,0,0,0,0
" NA ",0,0,0,0,0,0,0,0,0,0,0,0,0
" NA ",0,0,0,0,0,0,0,0,0,0,0,0,0
" NA ",0,0,0,0,0,0,0,0,0,0,0,0,0
" NA ",0,0,0,0,0,0,0,0,0,0,0,0,0
" NA ",0,0,0,0,0,0,0,0,0,0,0,0,0
" NA ",0,0,0,0,0,0,0,0,0,0,0,0,0
" NA ",0,0,0,0,0,0,0,0,0,0,0,0,0
" NA ",0,0,0,0,0,0,0,0,0,0,0,0,0
" NA ",0,0,0,0,0,0,0,0,0,0,0,0,0
" NA ",0,0,0,0,0,0,0,0,0,0,0,0,0
" NA ",0,0,0,0,0,0,0,0,0,0,0,0,0
" NA ",0,0,0,0,0,0,0,0,0,0,0,0,0
" NA ",0,0,0,0,0,0,0,0,0,0,0,0,0
" NA ",0,0,0,0,0,0,0,0,0,0,0,0,0
" NA ",0,0,0,0,0,0,0,0,0,0,0,0,0
" NA ",0,0,0,0,0,0,0,0,0,0,0,0,0
" NA ",0,0,0,0,0,0,0,0,0,0,0,0,0
" NA ",0,0,0,0,0,0,0,0,0,0,0,0,0
" NA ",0,0,0,0,0,0,0,0,0,0,0,0,0
" NA ",0,0,0,0,0,0,0,0,0,0,0,0,0
" NA ",0,0,0,0,0,0,0,0,0,0,0,0,0
" NA ",0,0,0,0,0,0,0,0,0,0,0,0,0
" NA ",0,0,0,0,0,0,0,0,0,0,0,0,0
" NA ",0,0,0,0,0,0,0,0,0,0,0,0,0
" NA ",0,0,0,0,0,0,0,0,0,0,0,0,0
" NA ",0,0,0,0,0,0,0,0,0,0,0,0,0
" NA ",0,0,0,0,0,0,0,0,0,0,0,0,0
" NA ",0,0,0,0,0,0,0,0,0,0,0,0,0
" NA ",0,0,0,0,0,0,0,0,0,0,0,0,0
" NA ",0,0,0,0,0,0,0,0,0,0,0,0,0
" NA ",0,0,0,0,0,0,0,0,0,0,0,0,0
" NA ",0,0,0,0,0,0,0,0,0,0,0,0,0
" NA ",0,0,0,0,0,0,0,0,0,0,0,0,0
" NA ",0,0,0,0,0,0,0,0,0,0,0,0,0
" NA ",0,0,0,0,0,0,0,0,0,0,0,0,0
" NA ",0,0,0,0,0,0,0,0,0,0,0,0,0
" NA ",0,0,0,0,0,0,0,0,0,0,0,0,0
" NA ",0,0,0,0,0,0,0,0,0,0,0,0,0
" NA ",0,0,0,0,0,0,0,0,0,0,0,0,0
" NA ",0,0,0,0,0,0,0,0,0,0,0,0,0
" NA ",0,0,0,0,0,0,0,0,0,0,0,0,0
" NA ",0,0,0,0,0,0,0,0,0,0,0,0,0
" NA ",0,0,0,0,0,0,0,0,0,0,0,0,0
" NA ",0,0,0,0,0,0,0,0,0,0,0,0,0
" NA ",0,0,0,0,0,0,0,0,0,0,0,0,0
" NA ",0,0,0,0,0,0,0,0,0,0,0,0,0
" NA ",0,0,0,0,0,0,0,0,0,0,0,0,0
" NA ",0,0,0,0,0,0,0,0,0,0,0,0,0
" NA ",0,0,0,0,0,0,0,0,0,0,0,0,0
" NA ",0,0,0,0,0,0,0,0,0,0,0,0,0
" NA ",0,0,0,0,0,0,0,0,0,0,0,0,0
